方形标签叠放实验， 拟合出错误顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0002 0000 0000 0000 0000#1624777727560820#-50.0#5.663457068873787#1
0000 0007 0000 0000 0000 0000#1624777727565066#-39.5#4.571262747899211#1
E200 001B 2014 0200 1580 ACEC#1624777727566184#-68.5#5.595961914206819#1
0000 0006 0000 0000 0000 0000#1624777727568643#-47.0#0.28225246497095796#1
0000 0005 0000 0000 0000 0000#1624777727569968#-51.0#1.8285050991596843#1
0000 0002 0000 0000 0000 0000#1624777727571766#-50.0#5.675728915176872#1
0000 0003 0000 0000 0000 0000#1624777727573083#-60.0#6.215690152512618#1
0000 0001 0000 0000 0000 0000#1624777727574393#-53.0#0.030679615757712823#1
0000 0004 0000 0000 0000 0000#1624777727575735#-56.5#1.5953400194010667#1
E200 001B 2014 0164 1580 8A56#1624777727580536#-68.0#5.9088939949354895#1
0000 0004 0000 0000 0000 0000#1624777727843482#-56.0#1.214912784005428#1
0000 0005 0000 0000 0000 0000#1624777727846167#-51.0#1.4664856332186729#1
0000 0003 0000 0000 0000 0000#1624777727847468#-59.0#5.872078456026235#1
0000 0002 0000 0000 0000 0000#1624777727848553#-50.0#5.411884219660542#1
0000 0006 0000 0000 0000 0000#1624777727849666#-47.0#6.135923151542564#1
0000 0007 0000 0000 0000 0000#1624777727859315#-40.0#4.01902966426038#1
E200 001B 2014 0200 1580 ACEC#1624777727862434#-66.0#4.767612288748572#1
E200 001B 2014 0164 1580 8A56#1624777727863783#-66.0#5.013049214810275#1
0000 0001 0000 0000 0000 0000#1624777727865580#-52.5#5.638913376267617#1
